テクスチャ,英語,日本語
materials/decals/sign02,UNDER VIDEO SURVEILLANCE,ビデオ監視下
materials/models/props_equipment/firepipe02,DANGER,危険
materials/models/props_equipment/firepipe02,FIRE,火事
materials/models/props_fortifications/police_barrier001,POLICE,警察
materials/models/props_fortifications/police_barrier001,POLICE LINE,警察の非常線
materials/models/props_fortifications/police_barrier001,DO NOT CROSS,立ち入り禁止
materials/models/props_highway/highway_signs004,INTERSTATE,州間高速道路
materials/models/props_highway/highway_signs004,EXIT,出口
materials/models/props_highway/highway_signs004,WEST,西
materials/models/props_highway/highway_signs004,SOUTH,南
materials/models/props_highway/highway_signs004,FREEWAY ENTRANCE,高速道路入り口
materials/models/props_highway/highway_signs101,WEST,ウエスト
materials/models/props_highway/highway_signs101,ATLANTA,アトランタ
materials/models/props_highway/highway_signs102,INTERSTATE,州間高速道路
materials/models/props_highway/highway_signs102,EAST,イースト
materials/models/props_highway/highway_signs102,MONTGOMERY STREET,モントゴメリーストリート
materials/models/props_highway/highway_signs103,LIBERTY MALL,リバティモール
materials/models/props_highway/highway_signs103,NEXT EXIT,次の出口
materials/models/props_interiors/ceda_easel01,“BOOMER”,「ブーマー」
materials/models/props_interiors/ceda_easel01,INFECTION RATIO FIGURES,感染率グラフ
materials/models/props_interiors/ceda_easel01,MEMO,メーモ
materials/models/props_interiors/ceda_easel01,SUBJECT: “BOOMER”,件名：ブーマー
materials/models/props_interiors/ceda_easel01,ALARM PHEROMONES,警報フェロモン
materials/models/props_interiors/ceda_easel01,CHEMICAL SIGNAL?,化学信号？
materials/models/props_interiors/ceda_easel01,BILE IS AGRESSION TRIGGER.,胆汁が攻撃合図になる。
materials/models/props_interiors/ceda_easel01b,Evacutaion Center Route Designations,避難センター経路指定図
materials/models/props_interiors/ceda_easel01b,NO FIREARMS,火器の所有を禁ず
materials/models/props_interiors/ceda_easel01b,FIREARM POSSESSION IS NOT PERMITTED IN ACCORDANCE WITH CEDA EMERGENCY MANAGEMENT AND PUBLIC SAFETY POLICIES,CEDAの危機管理及び公衆安全政策に基づき、火器の所有は禁止されています
materials/models/props_interiors/ceda_easel01b,PREPARING YOUR SAFEROOM,セーフルームの備えについて
materials/models/props_interiors/ceda_easel01b,ITEMS YOUR SAFEROOM SHOULD INCLUDE:,セーフルームには以下の物を用意してください：
materials/models/props_interiors/ceda_easel01b,AN ADEQUATE SUPPLY,十分な量の生活必需品
materials/models/props_interiors/ceda_easel01b,NON-PERISHABLE FOODS,保存食
materials/models/props_interiors/ceda_easel01b,A FIRST-AID KIT,救急キット
materials/models/props_interiors/ceda_easel01b,A FLASHLIGHT,フラッシュライト
materials/models/props_interiors/ceda_easel01b,NECESSARY PRESCRIPTION MEDICINES,必要な処方薬
materials/models/props_interiors/ceda_easel01b,"NOTE: IN ACCORDANCE WITH CEDA EMERGENCY MANAGEMENT POLICIES, FIREARM POSSESSION IS NOT PERMITTED.",注意：CEDAの危機管理及び公衆安全政策に基づき、火器の所有は禁止されています。
materials/models/props_interiors/ceda_easel01b,Telephone Directory,電話帳
materials/models/props_interiors/ceda_easel01b,FAX,ファクス
materials/models/props_interiors/ceda_easel01b,Savannah Press,サバンナ・プレス
materials/models/props_interiors/ceda_easel01b,MIDNIGHT RIDERS,ミッドナイトライダーズ
materials/models/props_interiors/ceda_easel01b,TOUR CANCELLED?,ツアー中止？
materials/models/props_interiors/ceda_easel01b,ENTERTAINMENT SECTION,エンターテインメント
materials/models/props_interiors/ceda_easel01b,"YOU MAY ALREADY BE INFECTED, EXPERT WARNS",あなたも既に感染しているかもしれないと専門家が警告
materials/models/props_interiors/ceda_easel01b,"GREEN FLU HITS, AIRPORT SHUT DOWN",緑インフルエンザ広まる、空港閉鎖
materials/models/props_interiors/ceda_table_maps,Evacuation Center Routes,避難センター経路指定図
materials/models/props_interiors/ceda_table_maps,"Region 3, South Atlantic",３地域・サウスアトランティック
materials/overlays/sign_16,TOW AWAY ZONE,レッカー移動区域
materials/overlays/sign_16,UNAUTHORIZED VEHICLES OR VESSELS WILL BE TOWED AWAY AT OWNER’S EXPENSE,無許可車両が所有者の負担でレッカー移動される
materials/overlays/sign_24,DANGER,危険
materials/overlays/sign_24,NO TRESPASSING,立入り禁止
materials/overlays/sign_30,HIGH VOLTAGE,高圧
materials/signs/hotel_sign001,ROOF ACCESS,屋上アクセス
materials/signs/hotel_sign001,STAIRS ACCESS,階段アクセス
materials/signs/hotel_sign001,STAIRS,階段
materials/signs/hotel_sign001,STORAGE,納戸
materials/signs/hotel_sign001,ELEVATORS,エレベータ
materials/signs/hotel_sign001,LOBBY,ロビー
materials/signs/hotel_sign001,LOUNGE,ラウンジ
materials/signs/hotel_sign002,FLOOR 8,８階
materials/signs/hotel_sign002,FLOOR 7,７階
materials/signs/hotel_sign002,SUITE A,スイートＡ
materials/signs/hotel_sign002,SUITE B,スイートＢ
materials/signs/hotel_sign002,HOUSEKEEPING,家事
materials/signs/hotel_sign002,BANQUET HALL A,宴会場Ａ
materials/signs/hotel_sign002,BANQUET HALL B,宴会場Ｂ
materials/signs/hotel_sign002,BANQUET HALL C,宴会場Ｃ
